class,transform,n,mean_p_true_drop,p95_p_true_drop
crazing,h_flip,60,0.012818017601966858,0.057344684004783604
crazing,rot_5,60,0.1807361309727033,0.4427032992243766
crazing,rot_15,60,0.47784798095623654,0.7548846453428266
crazing,rot_30,60,0.7336641520261764,0.9153846353292465
inclusion,h_flip,60,0.05503423164288203,0.36327422708272933
inclusion,rot_5,60,0.1135415680706501,0.36224364340305326
inclusion,rot_15,60,0.39908119663596153,0.6911834865808486
inclusion,rot_30,60,0.6134170034279426,0.8734613806009291
patches,h_flip,60,0.016602381070454916,0.09592138230800627
patches,rot_5,60,0.03469492147366206,0.13175716400146478
patches,rot_15,60,0.10484316398700079,0.34229867458343505
patches,rot_30,60,0.14193471372127534,0.400917503237724
pitted_surface,h_flip,60,0.02723494072755178,0.1374265849590301
pitted_surface,rot_5,60,0.4666017323732376,0.6942533999681472
pitted_surface,rot_15,60,0.5163275917371114,0.7929824113845825
pitted_surface,rot_30,60,0.5232443804542224,0.8137421369552612
rolled-in_scale,h_flip,60,0.0234695628285408,0.10856448113918302
rolled-in_scale,rot_5,60,0.3960745260119438,0.6527105331420898
rolled-in_scale,rot_15,60,0.6028225183486938,0.7988785415887832
rolled-in_scale,rot_30,60,0.7374622027079264,0.9002899557352065
scratches,h_flip,60,0.030195563038190206,0.13649965226650235
scratches,rot_5,60,0.03400448262691498,0.14139837324619284
scratches,rot_15,60,0.0322709192832311,0.11339486241340631
scratches,rot_30,60,0.026618864138921103,0.09742399752140037
